year,city,country,avg_temp
1849,Dakar,Senegal,24.08
1850,Dakar,Senegal,24.08
1851,Dakar,Senegal,24.26
1852,Dakar,Senegal,
1853,Dakar,Senegal,
1854,Dakar,Senegal,
1855,Dakar,Senegal,
1856,Dakar,Senegal,24.07
1857,Dakar,Senegal,23.99
1858,Dakar,Senegal,23.85
1859,Dakar,Senegal,24.59
1860,Dakar,Senegal,24.06
1861,Dakar,Senegal,24.14
1862,Dakar,Senegal,23.80
1863,Dakar,Senegal,23.71
1864,Dakar,Senegal,24.26
1865,Dakar,Senegal,24.37
1866,Dakar,Senegal,21.82
1867,Dakar,Senegal,
1868,Dakar,Senegal,24.18
1869,Dakar,Senegal,25.14
1870,Dakar,Senegal,24.81
1871,Dakar,Senegal,
1872,Dakar,Senegal,
1873,Dakar,Senegal,26.27
1874,Dakar,Senegal,23.83
1875,Dakar,Senegal,23.75
1876,Dakar,Senegal,24.40
1877,Dakar,Senegal,24.24
1878,Dakar,Senegal,24.50
1879,Dakar,Senegal,24.08
1880,Dakar,Senegal,24.13
1881,Dakar,Senegal,24.28
1882,Dakar,Senegal,24.45
1883,Dakar,Senegal,24.66
1884,Dakar,Senegal,24.11
1885,Dakar,Senegal,23.75
1886,Dakar,Senegal,23.85
1887,Dakar,Senegal,24.05
1888,Dakar,Senegal,24.20
1889,Dakar,Senegal,23.58
1890,Dakar,Senegal,23.88
1891,Dakar,Senegal,24.33
1892,Dakar,Senegal,24.85
1893,Dakar,Senegal,24.92
1894,Dakar,Senegal,23.97
1895,Dakar,Senegal,24.16
1896,Dakar,Senegal,24.85
1897,Dakar,Senegal,25.15
1898,Dakar,Senegal,24.83
1899,Dakar,Senegal,25.04
1900,Dakar,Senegal,24.64
1901,Dakar,Senegal,24.56
1902,Dakar,Senegal,24.81
1903,Dakar,Senegal,24.39
1904,Dakar,Senegal,23.85
1905,Dakar,Senegal,24.13
1906,Dakar,Senegal,24.38
1907,Dakar,Senegal,23.15
1908,Dakar,Senegal,24.13
1909,Dakar,Senegal,24.12
1910,Dakar,Senegal,24.38
1911,Dakar,Senegal,24.34
1912,Dakar,Senegal,24.17
1913,Dakar,Senegal,24.54
1914,Dakar,Senegal,24.61
1915,Dakar,Senegal,24.84
1916,Dakar,Senegal,24.29
1917,Dakar,Senegal,23.94
1918,Dakar,Senegal,24.30
1919,Dakar,Senegal,24.88
1920,Dakar,Senegal,24.42
1921,Dakar,Senegal,24.47
1922,Dakar,Senegal,24.51
1923,Dakar,Senegal,24.50
1924,Dakar,Senegal,24.47
1925,Dakar,Senegal,24.82
1926,Dakar,Senegal,25.39
1927,Dakar,Senegal,25.05
1928,Dakar,Senegal,24.28
1929,Dakar,Senegal,24.67
1930,Dakar,Senegal,24.03
1931,Dakar,Senegal,24.56
1932,Dakar,Senegal,24.36
1933,Dakar,Senegal,24.26
1934,Dakar,Senegal,23.83
1935,Dakar,Senegal,24.33
1936,Dakar,Senegal,24.93
1937,Dakar,Senegal,25.38
1938,Dakar,Senegal,24.76
1939,Dakar,Senegal,24.39
1940,Dakar,Senegal,24.55
1941,Dakar,Senegal,24.70
1942,Dakar,Senegal,24.38
1943,Dakar,Senegal,24.54
1944,Dakar,Senegal,24.85
1945,Dakar,Senegal,25.43
1946,Dakar,Senegal,24.61
1947,Dakar,Senegal,24.54
1948,Dakar,Senegal,24.67
1949,Dakar,Senegal,24.50
1950,Dakar,Senegal,24.70
1951,Dakar,Senegal,24.19
1952,Dakar,Senegal,24.43
1953,Dakar,Senegal,24.45
1954,Dakar,Senegal,24.49
1955,Dakar,Senegal,24.77
1956,Dakar,Senegal,24.27
1957,Dakar,Senegal,24.15
1958,Dakar,Senegal,25.06
1959,Dakar,Senegal,24.43
1960,Dakar,Senegal,24.47
1961,Dakar,Senegal,24.89
1962,Dakar,Senegal,24.95
1963,Dakar,Senegal,25.04
1964,Dakar,Senegal,24.80
1965,Dakar,Senegal,24.24
1966,Dakar,Senegal,24.98
1967,Dakar,Senegal,24.18
1968,Dakar,Senegal,24.10
1969,Dakar,Senegal,25.40
1970,Dakar,Senegal,25.22
1971,Dakar,Senegal,24.37
1972,Dakar,Senegal,24.54
1973,Dakar,Senegal,25.02
1974,Dakar,Senegal,24.10
1975,Dakar,Senegal,24.41
1976,Dakar,Senegal,24.34
1977,Dakar,Senegal,25.18
1978,Dakar,Senegal,25.04
1979,Dakar,Senegal,25.43
1980,Dakar,Senegal,24.85
1981,Dakar,Senegal,25.25
1982,Dakar,Senegal,24.52
1983,Dakar,Senegal,25.61
1984,Dakar,Senegal,24.93
1985,Dakar,Senegal,24.63
1986,Dakar,Senegal,24.60
1987,Dakar,Senegal,25.66
1988,Dakar,Senegal,25.12
1989,Dakar,Senegal,25.03
1990,Dakar,Senegal,25.13
1991,Dakar,Senegal,25.00
1992,Dakar,Senegal,25.09
1993,Dakar,Senegal,24.99
1994,Dakar,Senegal,24.94
1995,Dakar,Senegal,25.33
1996,Dakar,Senegal,25.49
1997,Dakar,Senegal,25.87
1998,Dakar,Senegal,26.03
1999,Dakar,Senegal,24.93
2000,Dakar,Senegal,25.26
2001,Dakar,Senegal,25.79
2002,Dakar,Senegal,25.40
2003,Dakar,Senegal,25.25
2004,Dakar,Senegal,25.38
2005,Dakar,Senegal,25.78
2006,Dakar,Senegal,25.32
2007,Dakar,Senegal,25.34
2008,Dakar,Senegal,25.50
2009,Dakar,Senegal,25.01
2010,Dakar,Senegal,26.10
2011,Dakar,Senegal,25.41
2012,Dakar,Senegal,25.47
2013,Dakar,Senegal,24.70
